title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Appartement à vendre 94 m² à Temara Wifak,1250000.0,Témara,Oued Eddahab,94.0,3.0,1.0,4.0,,https://www.avito.ma/fr/oued_eddahab/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Temara_Wifak_57774654.htm,13297.87,,Mid floor,Upper mid-range,Medium,Témara | Oued Eddahab,1,1,1,1,1,0,0,0
Appartement à vendre 43 m² à bourgogne,1300000.0,Casablanca,Bourgogne,43.0,1.0,1.0,2.0,,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_bourgogne_57526960.htm,30232.56,,Low floor,Upper mid-range,Small,Casablanca | Bourgogne,1,1,1,1,1,0,0,0
"Appartement à vendre Saada, près de Marjane, route de Casa, en sous-sol",440000.0,Marrakech,Es Saada,60.0,2.0,1.0,0.0,,https://www.avito.ma/fr/es_saada/appartements/Appartement_%C3%A0_vendre_Saada__pr%C3%A8s_de_Marjane__route_de_Casa__en_sous_sol_57202899.htm,7333.33,,Ground floor,Budget,Medium,Marrakech | Es Saada,1,1,1,1,1,0,1,0
Appartement à vendre 62 m² à Ksar el-Kebir,350000.0,Ksar El-Kebir,Toute la ville,62.0,2.0,2.0,3.0,,https://www.avito.ma/fr/ksar_el_kebir/appartements/Appartement_%C3%A0_vendre_62_m%C2%B2_%C3%A0_Ksar_el_Kebir_57838539.htm,5645.16,,Mid floor,Budget,Medium,Ksar El-Kebir | Toute la ville,1,1,1,1,1,0,0,0
Appartement chouka à Kénitra,610000.0,Kénitra,Ouled Oujih,80.0,2.0,2.0,1.0,,https://www.avito.ma/fr/ouled_oujih/appartements/Appartement_chouka_%C3%A0_K%C3%A9nitra_57737886.htm,7625.0,,Low floor,Mid-range,Medium,Kénitra | Ouled Oujih,1,1,1,1,1,0,0,0
Appartement à vendre 97 m² à Marrakech,2330000.0,Marrakech,Guéliz,97.0,2.0,1.0,5.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_%C3%A0_Marrakech_57658733.htm,24020.62,,Mid floor,Premium,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
🏡 Appartement à vendre,1900000.0,Marrakech,Guéliz,,2.0,2.0,0.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/___Appartement_%C3%A0_vendre_57274849.htm,,,Ground floor,Upper mid-range,Unknown,Marrakech | Guéliz,1,0,1,1,1,0,1,0
Appartement à vendre 82 m² à Kénitra,390000.0,Kénitra,Bir Rami,82.0,2.0,2.0,2.0,,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_K%C3%A9nitra_57694418.htm,4756.1,,Low floor,Budget,Medium,Kénitra | Bir Rami,1,1,1,1,1,0,0,0
Appartement à vendre 99 m² à Casablanca,950000.0,Casablanca,Sidi Maarouf,87.0,3.0,2.0,1.0,,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_99_m%C2%B2_%C3%A0_Casablanca_56666374.htm,10919.54,,Low floor,Mid-range,Medium,Casablanca | Sidi Maarouf,1,1,1,1,1,0,0,0
Appartement à vendre 118 m² à Tanger,1750000.0,Tanger,Centre Ville,118.0,2.0,2.0,5.0,,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_118_m%C2%B2_%C3%A0_Tanger_57323592.htm,14830.51,,Mid floor,Upper mid-range,Large,Tanger | Centre Ville,1,1,1,1,1,0,0,0
