listing_url,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,price_per_m2,property_age,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
https://www.avito.ma/fr/sidi_yahya/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Oujda_54904207.htm,370000.0,Oujda,Sidi Yahya,90.0,3.0,2.0,3.0,,4111.11,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_%C3%A0_Plage_des_Nations_57513939.htm,2500000.0,Sidi Bouknadel,Toute la ville,98.0,2.0,2.0,3.0,,25510.2,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/majorelle/appartements/Joli_Studio_68_m%C2%B2_proche_des_Jardins_Majorelle_57646076.htm,1190000.0,Marrakech,Majorelle,68.0,1.0,1.0,4.0,,17500.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/achakar/appartements/___Appartement_d_exception_%C3%A0_vendre_%C3%A0_Achakar__57717771.htm,2800000.0,Tanger,Achakar,165.0,2.0,2.0,1.0,,16969.7,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/tamaris/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Tamaris_56939136.htm,280000.0,Tamaris,Toute la ville,50.0,2.0,1.0,1.0,,5600.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_ennasr/appartements/Appartement_%C3%A0_vendre_90_m_rjafalah_%C3%A0_Oujda_54393617.htm,260000.0,Oujda,Hay Ennasr,,2.0,1.0,1.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/sidi_yahya/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Oujda_55361733.htm,490000.0,Oujda,Sidi Yahya,150.0,3.0,1.0,2.0,,3266.67,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_120m%C2%B2_Chouka_%C3%A0_vendre_%C3%A0_Casablanca__56464823.htm,1080000.0,Casablanca,Hay Mohammadi,120.0,3.0,2.0,2.0,,9000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_de_standing_%C3%A0_vendre_%C3%A0_Gu%C3%A9liz___108_m%C2%B2_57748672.htm,2000000.0,Marrakech,Guéliz,108.0,3.0,2.0,3.0,,18518.52,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_85_m%C2%B2_%C3%A0_Oujda_redchousse_ban9achoure_55224195.htm,400000.0,Oujda,Centre Ville,85.0,2.0,1.0,0.0,,4705.88,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Super_Appartement_neuf_%C3%A0_vendre_H_M_Casa_56729735.htm,920000.0,Casablanca,Hay Mohammadi,92.0,2.0,2.0,3.0,,10000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Oujda_55224106.htm,430000.0,Oujda,Hay Zitoune,100.0,3.0,1.0,1.0,,4300.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Oujda_54392974.htm,390000.0,Oujda,Centre Ville,85.0,2.0,1.0,1.0,,4588.24,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/m_hamid/appartements/Joli_Appartement_1er_Etage_Mhamid_7_57133912.htm,410000.0,Marrakech,M'Hamid,57.0,2.0,1.0,1.0,,7192.98,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/bab_f%C3%A8s/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_K%C3%A9nitra_57844481.htm,370000.0,Kénitra,Bab Fès,54.0,2.0,1.0,4.0,,6851.85,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/souissi/appartements/Rez_de_jardin_%C3%A0_vendre_128_m%C2%B2_20_m%C2%B2_jardin_57302278.htm,2100000.0,Rabat,Souissi,148.0,3.0,2.0,0.0,,14189.19,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/anza/appartements/___appartement_vue_mer_en_face__sans_vis_%C3%A0_vis_56936072.htm,1600000.0,Agadir,Anza,80.0,2.0,2.0,4.0,,20000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_mohammadi/appartements/__Appartement_duplex_174m2_%C3%A0_vendre_HM_Casa___57631189.htm,1000000.0,Casablanca,Hay Mohammadi,174.0,5.0,2.0,2.0,,5747.13,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/el_mansouria/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_El_Mansouria_57553786.htm,940000.0,El Mansouria,Toute la ville,78.0,2.0,2.0,2.0,,12051.28,,1,1,1,1,1,0,0,0
